,地区,经度,纬度
0,湖南省湘潭市,,
1,河南省南阳地区,,
2,湖南省衡阳市,,
3,湖南省娄底地区,,
4,湖南省郴州地区,,
5,湖北省襄樊市,,
6,广西桂林市,,
7,陕西省咸阳市,,
8,江苏省南京市,,
9,湖南省邵阳市,,
10,广西桂林地区,,
11,湖南省大庸市,,
12,湖南省长沙市,,
13,广西防城港市,,
14,湖南省岳阳市,,
15,陕西省汉中地区,,
16,湖北省荆门市,,
17,湖南省株洲市,,
18,江西省萍乡市,,
19,江西省宜春地区,,
20,湖南省湘西土家族苗族自治州,,
21,湖北省孝感市,,
22,湖北省武汉市,,
23,湖南省常德市,,
24,广西梧州地区,,
25,广东省梅州市,,
26,安徽省六安地区,,
27,湖南省怀化地区,,
28,贵州省黔东南苗族侗族自治州,,
29,广西河池地区,,
30,湖南省益阳地区,,
31,山西省阳泉市,,
32,安徽省巢湖地区,,
33,安徽省安庆市,,
34,江苏省扬州市,,
35,安徽省池州地区,,
36,吉林省松原市,,
37,湖北省黄石市,,
38,河北省沧洲市,,
39,广东省湛江市,,
40,河南省周口地区,,
41,贵州省遵义地区,,
42,陕西省宝鸡市,,
43,广东省茂名市,,
44,江苏省淮阴市,,
45,安徽省滁州市,,
46,浙江省杭州市,,
47,山东省潍坊市,,
48,四川省万县市,,
49,河北省石家庄市,,
50,河南省许昌市,,
51,广东省东莞市,,
52,天津市市辖区,,
53,江西省吉安地区,,
54,广东省肇庆市,,
55,湖南省零陵地区,,
56,四川省重庆市,,
57,河北省邢台市,,
58,河北省保定地区,,
59,贵州省毕节地区,,
60,湖北省荆州地区,,
61,广东省韶关市,,
62,山西省运城地区,,
63,山东省济宁市,,
64,河南省洛阳市,,
65,新疆哈密地区,,
66,四川省绵阳市,,
67,西藏自治区西藏拉萨市,,
68,新疆省直辖行政单位,,
69,新疆乌鲁木齐市,,
70,河北省承德市,,
71,甘肃省定西地区,,
72,河南省漯河市,,
73,云南省怒江傈僳族自治州,,
74,河南省信阳地区,,
75,江西省抚州地区,,
76,湖北省恩施土家族苗族自治州,,
77,江苏省徐州市,,
78,贵州省六盘水市,,
79,贵州省贵阳市,,
80,江西省南昌市,,
81,广东省广州市,,
82,山西省晋中地区,,
83,湖北省宜昌市,,
84,云南省昭通地区,,
85,河南省驻马店地区,,
86,江西省景德镇市,,
87,江西省新余市,,
88,江西省上饶地区,,
89,河南省开封市,,
90,广东省深圳市,,
91,江西省九江市,,
92,广东省揭阳市,,
93,山西省太原市,,
94,河南省新乡市　　　　　　,,
95,河南省郑州市,,
96,河南省平顶山市,,
97,内蒙古赤峰市,,
98,山东省临沂地区,,
99,浙江省绍兴市,,
100,黑龙江佳木斯市,,
101,上海市市辖区,,
102,广西柳州地区,,
103,山东省枣庄市,,
104,四川省内江市,,
105,甘肃省平凉地区,,
106,云南省文山壮族苗族自治州,,
107,四川省广元市,,
108,河南省焦作市,,
109,安徽省宣城地区,,
110,浙江省衢州市,,
111,甘肃省天水市,,
112,福建省莆田市,,
113,湖北省咸宁地区,,
114,四川省南充市,,
115,新疆阿勒泰地区,,
116,河南省三门峡市,,
117,内蒙古哲里木盟,,
118,内蒙古呼和浩特市,,
119,吉林省通化市,,
120,山西省大同市,,
121,四川省泸州市,,
122,河南省鹤壁市,,
123,贵州省黔南布依族苗族自治州,,
124,广东省清远市,,
125,广东省佛山市,,
126,青海省西宁市,,
127,贵州省铜仁地区,,
128,云南省楚雄彝族自治州,,
129,四川省成都市,,
130,陕西省西安市,,
131,四川省自贡市,,
132,广东省汕尾市,,
133,四川省德阳市,,
134,福建省泉州市,,
135,黑龙江绥化地区,,
136,安徽省宿县地区,,
137,辽宁省营口市,,
138,广东省河源市,,
139,广西南宁地区,,
140,湖北省十堰市,,
141,湖北省黄冈地区,,
142,四川省遂宁市,,
143,安徽省铜陵市,,
144,河北省保定市,,
145,内蒙古呼伦贝尔盟,,
146,山西省临汾地区,,
147,河北省唐山市,,
148,内蒙古乌兰察布盟,,
149,福建省南平地区,,
150,四川省黔江地区,,
151,四川省雅安地区,,
152,福建省福州市,,
153,黑龙江松花江地区,,
154,内蒙古锡林郭勒盟,,
155,辽宁省朝阳市,,
156,安徽省马鞍山市,,
157,甘肃省陇南地区,,
158,浙江省温州市,,
159,北京市市辖区,,
160,新疆昌吉回族自治州,,
161,广西北海市　,,
162,陕西省榆林地区,,
163,河北省衡水地区,,
164,四川省达川地区,,
165,江苏省镇江市,,
166,安徽省蚌埠市,,
167,河北省张家口市,,
168,河北省邯郸市,,
169,四川省凉山彝族自治州,,
170,山东省菏泽地区,,
171,新疆巴音郭楞蒙古自治州,,
172,云南省思茅地区,,
173,云南省红河哈尼族彝族自治州,,
174,海南省三亚各市县,,
175,江苏省南通市,,
176,甘肃省兰州市,,
177,山东省威海市,,
178,黑龙江哈尔滨市,,
179,山东省滨州地区,,
180,黑龙江鸡西市,,
181,福建省龙岩地区,,
182,贵州省黔西南布依族苗族自治州,,
183,辽宁省本溪市,,
184,吉林省长春市,,
185,北京市市辖县,,
186,广西玉林地区,,
187,广西柳州市,,
188,广东省阳江市,,
189,江西省赣州地区,,
190,甘肃省酒泉地区,,
191,内蒙古巴彦淖尔盟,,
192,黑龙江大庆市,,
193,安徽省芜湖市,,
194,新疆和田地区,,
195,浙江省湖洲市,,
196,江苏省连云港市,,
197,河南省商丘地区,,
198,江苏省苏州市,,
199,辽宁省辽阳市,,
200,吉林省吉林市,,
201,内蒙古兴安盟,,
202,黑龙江鹤岗市,,
203,黑龙江牡丹江市,,
204,四川省乐山市,,
205,浙江省宁波市,,
206,辽宁省大连市,,
207,山东省青岛市,,
208,陕西省安康地区,,
209,福建省漳州市,,
210,贵州省安顺地区,,
211,天津市市辖县,,
212,安徽省合肥市,,
213,广东省珠海市,,
214,江苏省盐城市,,
215,浙江省丽水地区,,
216,四川省巴中地区,,
217,湖北省鄂州市,,
218,西藏自治区西藏山南地区,,
219,山东省烟台市,,
220,云南省大理白族自治州,,
221,江苏省常州市,,
222,甘肃省白银市,,
223,河北省秦皇岛市,,
224,甘肃省张掖地区,,
225,广东省江门市,,
226,广东省惠州市,,
227,青海省海西蒙古族藏族自治州,,
228,河南省安阳市,,
229,广西梧州市,,
230,辽宁省铁岭市,,
231,山西省晋城市,,
232,山西省吕梁地区,,
233,山东省日照市,,
234,上海市市辖县,,
235,浙江省嘉兴市,,
236,辽宁省抚顺市,,
237,山东省淄博市,,
238,浙江省金华市,,
239,广西百色地区,,
240,山西省朔州市,,
241,海南省三亚市　　　　　　　,,
242,四川省阿坝藏族羌族自治州,,
243,宁夏固原地区,,
244,四川省宜宾地区,,
245,安徽省黄山市,,
246,浙江省台州地区,,
247,云南省曲靖地区,,
248,山西省长治市,,
249,福建省宁德地区,,
250,云南省临沧地区,,
251,黑龙江大兴安岭地区,,
252,海南省海口市,,
253,甘肃省庆阳地区,,
254,山西省忻洲地区,,
255,河南省濮阳市,,
256,四川省涪陵地区,,
257,广东省中山市,,
258,甘肃省武威地区,,
259,黑龙江齐齐哈尔市,,
260,辽宁省锦州市,,
261,福建省三明市,,
262,江西省鹰潭市,,
263,山东省泰安市,,
264,辽宁省锦西市,,
265,吉林省辽源市,,
266,黑龙江七台河市,,
267,吉林省四平市,,
268,内蒙古包头市,,
269,吉林省白城市,,
270,广西南宁市,,
271,辽宁省盘锦市,,
272,广东省汕头市,,
273,陕西省渭南地区,,
274,安徽省淮南市,,
275,浙江省舟山市,,
276,黑龙江双鸭山市,,
277,四川省攀枝花市,,
278,辽宁省丹东市,,
279,辽宁省沈阳市,,
280,新疆伊犁地区,,
281,湖北省沙市市,,
