,地区,经度,纬度
0,湖南省湘潭市,,
1,湖南省湘潭市,,
2,湖南省湘潭市,,
3,湖南省湘潭市,,
4,湖南省湘潭市,,
5,湖南省湘潭市,,
6,河南省南阳地区,,
7,湖南省衡阳市,,
8,湖南省湘潭市,,
9,湖南省湘潭市,,
10,湖南省湘潭市,,
11,湖南省湘潭市,,
12,湖南省湘潭市,,
13,湖南省湘潭市,,
14,湖南省湘潭市,,
15,湖南省湘潭市,,
16,湖南省湘潭市,,
17,湖南省湘潭市,,
18,湖南省湘潭市,,
19,湖南省湘潭市,,
20,湖南省湘潭市,,
21,湖南省湘潭市,,
22,湖南省湘潭市,,
23,湖南省湘潭市,,
24,湖南省湘潭市,,
25,湖南省湘潭市,,
26,湖南省湘潭市,,
27,湖南省湘潭市,,
28,湖南省湘潭市,,
29,湖南省湘潭市,,
30,湖南省湘潭市,,
31,湖南省湘潭市,,
32,湖南省湘潭市,,
33,湖南省娄底地区,,
34,湖南省娄底地区,,
35,湖南省娄底地区,,
36,湖南省娄底地区,,
37,湖南省郴州地区,,
38,湖南省娄底地区,,
39,湖南省娄底地区,,
40,湖南省娄底地区,,
41,湖南省湘潭市,,
42,湖北省襄樊市,,
43,湖南省湘潭市,,
44,湖南省湘潭市,,
45,湖南省湘潭市,,
46,湖南省湘潭市,,
47,湖南省湘潭市,,
48,湖南省湘潭市,,
49,湖南省湘潭市,,
50,湖南省湘潭市,,
51,湖南省湘潭市,,
52,湖南省湘潭市,,
53,湖南省湘潭市,,
54,湖南省湘潭市,,
55,湖南省湘潭市,,
56,湖南省湘潭市,,
57,湖南省湘潭市,,
58,湖南省湘潭市,,
59,广西桂林市,,
60,陕西省咸阳市,,
61,江苏省南京市,,
62,湖南省邵阳市,,
63,湖南省邵阳市,,
64,湖南省邵阳市,,
65,广西桂林地区,,
66,湖南省邵阳市,,
67,湖南省邵阳市,,
68,湖南省邵阳市,,
69,湖南省邵阳市,,
70,湖南省邵阳市,,
71,湖南省邵阳市,,
72,湖南省邵阳市,,
73,湖南省邵阳市,,
74,广西桂林地区,,
75,湖南省邵阳市,,
76,湖南省娄底地区,,
77,湖南省娄底地区,,
78,湖南省娄底地区,,
79,湖南省娄底地区,,
80,湖南省娄底地区,,
81,湖南省娄底地区,,
82,湖南省娄底地区,,
83,湖南省娄底地区,,
84,湖南省娄底地区,,
85,湖南省娄底地区,,
86,湖南省娄底地区,,
87,湖南省娄底地区,,
88,湖南省娄底地区,,
89,湖南省邵阳市,,
90,湖南省娄底地区,,
91,湖南省大庸市,,
92,湖南省长沙市,,
93,湖南省长沙市,,
94,湖南省长沙市,,
95,湖南省长沙市,,
96,湖南省长沙市,,
97,湖南省长沙市,,
98,湖南省长沙市,,
99,湖南省长沙市,,
100,广西防城港市,,
101,湖南省长沙市,,
102,湖南省岳阳市,,
103,湖南省长沙市,,
104,湖南省长沙市,,
105,湖南省长沙市,,
106,湖南省长沙市,,
107,湖南省长沙市,,
108,湖南省长沙市,,
109,湖南省长沙市,,
110,湖南省长沙市,,
111,湖南省长沙市,,
112,湖南省长沙市,,
113,湖南省长沙市,,
114,湖南省长沙市,,
115,陕西省汉中地区,,
116,湖南省长沙市,,
117,湖南省长沙市,,
118,湖南省长沙市,,
119,湖南省长沙市,,
120,湖南省长沙市,,
121,湖南省长沙市,,
122,湖南省长沙市,,
123,湖北省荆门市,,
124,湖南省长沙市,,
125,湖南省长沙市,,
126,湖南省长沙市,,
127,湖南省长沙市,,
128,湖南省长沙市,,
129,湖南省长沙市,,
130,湖南省长沙市,,
131,湖南省株洲市,,
132,江西省萍乡市,,
133,江西省萍乡市,,
134,江西省萍乡市,,
135,江西省萍乡市,,
136,江西省萍乡市,,
137,江西省萍乡市,,
138,江西省萍乡市,,
139,江西省萍乡市,,
140,江西省萍乡市,,
141,江西省萍乡市,,
142,江西省萍乡市,,
143,江西省萍乡市,,
144,江西省萍乡市,,
145,江西省萍乡市,,
146,江西省萍乡市,,
147,江西省萍乡市,,
148,江西省萍乡市,,
149,湖南省株洲市,,
150,江西省萍乡市,,
151,江西省萍乡市,,
152,江西省萍乡市,,
153,江西省萍乡市,,
154,江西省宜春地区,,
155,湖南省岳阳市,,
156,湖南省株洲市,,
157,湖南省长沙市,,
158,湖南省长沙市,,
159,湖南省长沙市,,
160,湖南省湘西土家族苗族自治州,,
161,湖南省长沙市,,
162,湖南省长沙市,,
163,湖北省孝感市,,
164,江西省萍乡市,,
165,湖南省长沙市,,
166,湖南省邵阳市,,
167,湖南省长沙市,,
168,湖南省长沙市,,
169,湖南省长沙市,,
170,湖南省长沙市,,
171,湖南省衡阳市,,
172,湖南省岳阳市,,
173,湖南省长沙市,,
174,湖北省武汉市,,
175,湖南省长沙市,,
176,湖南省湘潭市,,
177,湖南省长沙市,,
178,湖南省常德市,,
179,湖南省长沙市,,
180,湖南省湘潭市,,
181,湖南省长沙市,,
182,湖南省衡阳市,,
183,湖南省长沙市,,
184,湖南省岳阳市,,
185,湖南省湘潭市,,
186,湖南省湘潭市,,
187,江西省萍乡市,,
188,广西梧州地区,,
189,广东省梅州市,,
190,湖南省长沙市,,
191,湖南省湘潭市,,
192,安徽省六安地区,,
193,湖南省长沙市,,
194,湖南省邵阳市,,
195,湖南省常德市,,
196,湖南省湘潭市,,
197,湖南省长沙市,,
198,湖南省湘潭市,,
199,湖南省邵阳市,,
200,湖南省衡阳市,,
201,湖南省长沙市,,
202,湖南省长沙市,,
203,湖南省长沙市,,
204,湖南省湘潭市,,
205,湖南省岳阳市,,
206,湖南省湘西土家族苗族自治州,,
207,湖南省岳阳市,,
208,湖南省湘潭市,,
209,湖南省湘潭市,,
210,湖南省娄底地区,,
211,湖南省湘潭市,,
212,江西省宜春地区,,
213,江西省宜春地区,,
214,江西省宜春地区,,
215,江西省宜春地区,,
216,江西省宜春地区,,
217,江西省宜春地区,,
218,湖南省怀化地区,,
219,湖南省常德市,,
220,贵州省黔东南苗族侗族自治州,,
221,湖南省长沙市,,
222,湖南省长沙市,,
223,湖南省长沙市,,
224,湖南省岳阳市,,
225,湖南省岳阳市,,
226,湖南省湘潭市,,
227,湖南省湘潭市,,
228,湖南省湘潭市,,
229,湖南省湘潭市,,
230,湖南省湘潭市,,
231,湖南省湘潭市,,
232,广西河池地区,,
233,湖南省湘潭市,,
234,湖南省湘潭市,,
235,湖南省湘潭市,,
236,湖南省湘潭市,,
237,湖南省湘潭市,,
238,湖南省长沙市,,
239,湖南省邵阳市,,
240,湖南省娄底地区,,
241,湖南省长沙市,,
242,江西省宜春地区,,
243,江西省宜春地区,,
244,湖南省娄底地区,,
245,湖南省娄底地区,,
246,湖南省益阳地区,,
247,湖南省衡阳市,,
248,湖南省娄底地区,,
249,湖南省娄底地区,,
250,湖南省长沙市,,
251,湖南省娄底地区,,
252,湖南省长沙市,,
253,湖南省长沙市,,
254,湖南省长沙市,,
255,湖南省长沙市,,
256,湖南省湘西土家族苗族自治州,,
257,湖南省长沙市,,
258,湖南省长沙市,,
259,湖南省长沙市,,
260,湖南省衡阳市,,
261,湖南省长沙市,,
262,湖南省怀化地区,,
263,湖南省长沙市,,
264,湖南省长沙市,,
265,湖南省长沙市,,
266,湖南省长沙市,,
267,湖南省长沙市,,
268,湖南省娄底地区,,
269,湖南省怀化地区,,
270,湖南省湘潭市,,
271,湖南省长沙市,,
272,湖南省长沙市,,
273,湖南省长沙市,,
274,湖南省长沙市,,
275,湖南省长沙市,,
276,湖南省益阳地区,,
277,湖南省长沙市,,
278,湖南省长沙市,,
279,湖南省长沙市,,
280,湖南省郴州地区,,
281,湖南省长沙市,,
282,湖南省长沙市,,
283,湖南省长沙市,,
284,湖南省衡阳市,,
285,湖南省衡阳市,,
286,湖南省衡阳市,,
287,湖南省衡阳市,,
288,江西省宜春地区,,
289,江西省宜春地区,,
290,江西省宜春地区,,
291,江西省宜春地区,,
292,江西省宜春地区,,
293,江西省宜春地区,,
294,江西省宜春地区,,
295,江西省宜春地区,,
296,江西省宜春地区,,
297,江西省宜春地区,,
298,江西省宜春地区,,
299,湖南省湘潭市,,
300,湖南省湘潭市,,
301,湖南省湘潭市,,
302,湖南省湘潭市,,
303,湖南省湘潭市,,
304,湖南省衡阳市,,
305,湖南省湘潭市,,
306,湖南省湘潭市,,
307,湖南省湘潭市,,
308,湖南省湘潭市,,
309,湖南省湘潭市,,
310,湖南省湘潭市,,
311,湖南省湘潭市,,
312,湖南省湘潭市,,
313,湖南省湘潭市,,
314,湖南省湘潭市,,
315,湖南省湘潭市,,
316,湖南省湘潭市,,
317,湖南省湘潭市,,
318,湖南省湘潭市,,
319,湖南省湘潭市,,
320,湖南省湘潭市,,
321,湖南省湘潭市,,
322,湖南省湘潭市,,
323,湖南省湘潭市,,
324,湖南省湘潭市,,
325,湖南省湘潭市,,
326,湖南省长沙市,,
327,湖南省衡阳市,,
328,山西省阳泉市,,
329,湖南省怀化地区,,
330,安徽省巢湖地区,,
331,安徽省安庆市,,
332,江苏省扬州市,,
333,湖南省邵阳市,,
334,湖南省长沙市,,
335,湖南省长沙市,,
336,湖南省长沙市,,
337,湖北省襄樊市,,
338,湖南省长沙市,,
339,安徽省池州地区,,
340,湖南省长沙市,,
341,湖南省长沙市,,
342,湖南省岳阳市,,
343,湖南省益阳地区,,
344,湖南省长沙市,,
345,湖南省常德市,,
346,湖南省衡阳市,,
347,湖南省邵阳市,,
348,湖南省邵阳市,,
349,湖南省衡阳市,,
350,吉林省松原市,,
351,湖南省长沙市,,
352,湖南省长沙市,,
353,湖南省长沙市,,
