,地区,经度,纬度
0,湖南省湘潭市,,
6,河南省南阳地区,,
7,湖南省衡阳市,,
33,湖南省娄底地区,,
37,湖南省郴州地区,,
42,湖北省襄樊市,,
59,广西桂林市,,
60,陕西省咸阳市,,
61,江苏省南京市,,
62,湖南省邵阳市,,
65,广西桂林地区,,
91,湖南省大庸市,,
92,湖南省长沙市,,
100,广西防城港市,,
102,湖南省岳阳市,,
115,陕西省汉中地区,,
123,湖北省荆门市,,
131,湖南省株洲市,,
132,江西省萍乡市,,
154,江西省宜春地区,,
160,湖南省湘西土家族苗族自治州,,
163,湖北省孝感市,,
174,湖北省武汉市,,
178,湖南省常德市,,
188,广西梧州地区,,
189,广东省梅州市,,
192,安徽省六安地区,,
218,湖南省怀化地区,,
220,贵州省黔东南苗族侗族自治州,,
232,广西河池地区,,
246,湖南省益阳地区,,
328,山西省阳泉市,,
330,安徽省巢湖地区,,
331,安徽省安庆市,,
332,江苏省扬州市,,
339,安徽省池州地区,,
350,吉林省松原市,,
368,湖北省黄石市,,
370,河北省沧洲市,,
378,广东省湛江市,,
381,河南省周口地区,,
387,贵州省遵义地区,,
389,陕西省宝鸡市,,
471,广东省茂名市,,
473,江苏省淮阴市,,
474,安徽省滁州市,,
477,浙江省杭州市,,
478,山东省潍坊市,,
480,四川省万县市,,
485,河北省石家庄市,,
489,河南省许昌市,,
491,广东省东莞市,,
519,天津市市辖区,,
531,江西省吉安地区,,
533,广东省肇庆市,,
544,湖南省零陵地区,,
605,四川省重庆市,,
607,河北省邢台市,,
610,河北省保定地区,,
620,贵州省毕节地区,,
622,湖北省荆州地区,,
634,广东省韶关市,,
637,山西省运城地区,,
652,山东省济宁市,,
714,河南省洛阳市,,
721,新疆哈密地区,,
722,四川省绵阳市,,
723,西藏自治区西藏拉萨市,,
725,新疆省直辖行政单位,,
726,新疆乌鲁木齐市,,
755,河北省承德市,,
756,甘肃省定西地区,,
781,河南省漯河市,,
783,云南省怒江傈僳族自治州,,
825,河南省信阳地区,,
888,江西省抚州地区,,
917,湖北省恩施土家族苗族自治州,,
1020,江苏省徐州市,,
1037,贵州省六盘水市,,
1073,贵州省贵阳市,,
1086,江西省南昌市,,
1126,广东省广州市,,
1135,山西省晋中地区,,
1153,湖北省宜昌市,,
1194,云南省昭通地区,,
1205,河南省驻马店地区,,
1230,江西省景德镇市,,
1269,江西省新余市,,
1316,江西省上饶地区,,
1333,河南省开封市,,
1338,广东省深圳市,,
1339,江西省九江市,,
1342,广东省揭阳市,,
1344,山西省太原市,,
1396,河南省新乡市　　　　　　,,
1408,河南省郑州市,,
1409,河南省平顶山市,,
1410,内蒙古赤峰市,,
1414,山东省临沂地区,,
1488,浙江省绍兴市,,
1581,黑龙江佳木斯市,,
1614,上海市市辖区,,
1633,广西柳州地区,,
1710,山东省枣庄市,,
1728,四川省内江市,,
1847,甘肃省平凉地区,,
1855,云南省文山壮族苗族自治州,,
1879,四川省广元市,,
1976,河南省焦作市,,
2023,安徽省宣城地区,,
2025,浙江省衢州市,,
2033,甘肃省天水市,,
2052,福建省莆田市,,
2055,湖北省咸宁地区,,
2067,四川省南充市,,
2124,新疆阿勒泰地区,,
2215,河南省三门峡市,,
2245,内蒙古哲里木盟,,
2246,内蒙古呼和浩特市,,
2254,吉林省通化市,,
2256,山西省大同市,,
2261,四川省泸州市,,
2267,河南省鹤壁市,,
2274,贵州省黔南布依族苗族自治州,,
2276,广东省清远市,,
2326,广东省佛山市,,
2431,青海省西宁市,,
2433,贵州省铜仁地区,,
2477,云南省楚雄彝族自治州,,
2567,四川省成都市,,
2570,陕西省西安市,,
2572,四川省自贡市,,
2724,广东省汕尾市,,
2807,四川省德阳市,,
2908,福建省泉州市,,
2909,黑龙江绥化地区,,
2913,安徽省宿县地区,,
2916,辽宁省营口市,,
2917,广东省河源市,,
2983,广西南宁地区,,
3040,湖北省十堰市,,
3378,湖北省黄冈地区,,
3385,四川省遂宁市,,
3388,安徽省铜陵市,,
3393,河北省保定市,,
3394,内蒙古呼伦贝尔盟,,
3401,山西省临汾地区,,
3456,河北省唐山市,,
3468,内蒙古乌兰察布盟,,
3484,福建省南平地区,,
3488,四川省黔江地区,,
3491,四川省雅安地区,,
3493,福建省福州市,,
3667,黑龙江松花江地区,,
3678,内蒙古锡林郭勒盟,,
3737,辽宁省朝阳市,,
3744,安徽省马鞍山市,,
3789,甘肃省陇南地区,,
3944,浙江省温州市,,
4006,北京市市辖区,,
4203,新疆昌吉回族自治州,,
4481,广西北海市　,,
4506,陕西省榆林地区,,
4634,河北省衡水地区,,
4734,四川省达川地区,,
5117,江苏省镇江市,,
5132,安徽省蚌埠市,,
5139,河北省张家口市,,
5241,河北省邯郸市,,
5270,四川省凉山彝族自治州,,
5292,山东省菏泽地区,,
5485,新疆巴音郭楞蒙古自治州,,
5489,云南省思茅地区,,
5494,云南省红河哈尼族彝族自治州,,
5505,海南省三亚各市县,,
5534,江苏省南通市,,
5542,甘肃省兰州市,,
5735,山东省威海市,,
5737,黑龙江哈尔滨市,,
5741,山东省滨州地区,,
5963,黑龙江鸡西市,,
6025,福建省龙岩地区,,
6117,贵州省黔西南布依族苗族自治州,,
6180,辽宁省本溪市,,
6248,吉林省长春市,,
6266,北京市市辖县,,
6491,广西玉林地区,,
6636,广西柳州市,,
6746,广东省阳江市,,
6796,江西省赣州地区,,
6812,甘肃省酒泉地区,,
6848,内蒙古巴彦淖尔盟,,
6940,黑龙江大庆市,,
6942,安徽省芜湖市,,
7157,新疆和田地区,,
7163,浙江省湖洲市,,
7174,江苏省连云港市,,
7177,河南省商丘地区,,
7189,江苏省苏州市,,
7204,辽宁省辽阳市,,
7205,吉林省吉林市,,
7289,内蒙古兴安盟,,
7294,黑龙江鹤岗市,,
7446,黑龙江牡丹江市,,
7661,四川省乐山市,,
7701,浙江省宁波市,,
7762,辽宁省大连市,,
7775,山东省青岛市,,
7793,陕西省安康地区,,
7821,福建省漳州市,,
7941,贵州省安顺地区,,
8244,天津市市辖县,,
8451,安徽省合肥市,,
8535,广东省珠海市,,
8581,江苏省盐城市,,
8602,浙江省丽水地区,,
8725,四川省巴中地区,,
8753,湖北省鄂州市,,
8773,西藏自治区西藏山南地区,,
8778,山东省烟台市,,
8824,云南省大理白族自治州,,
8941,江苏省常州市,,
8951,甘肃省白银市,,
9290,河北省秦皇岛市,,
9346,甘肃省张掖地区,,
9416,广东省江门市,,
9564,广东省惠州市,,
10022,青海省海西蒙古族藏族自治州,,
10097,河南省安阳市,,
10262,广西梧州市,,
10284,辽宁省铁岭市,,
10418,山西省晋城市,,
10504,山西省吕梁地区,,
10507,山东省日照市,,
10514,上海市市辖县,,
10519,浙江省嘉兴市,,
10527,辽宁省抚顺市,,
10529,山东省淄博市,,
10842,浙江省金华市,,
10904,广西百色地区,,
10986,山西省朔州市,,
11008,海南省三亚市　　　　　　　,,
11028,四川省阿坝藏族羌族自治州,,
11217,宁夏固原地区,,
11396,四川省宜宾地区,,
11478,安徽省黄山市,,
11505,浙江省台州地区,,
11549,云南省曲靖地区,,
11703,山西省长治市,,
12467,福建省宁德地区,,
12666,云南省临沧地区,,
12736,黑龙江大兴安岭地区,,
12949,海南省海口市,,
12952,甘肃省庆阳地区,,
13131,山西省忻洲地区,,
13164,河南省濮阳市,,
13201,四川省涪陵地区,,
13259,广东省中山市,,
13703,甘肃省武威地区,,
13809,黑龙江齐齐哈尔市,,
13945,辽宁省锦州市,,
13951,福建省三明市,,
14270,江西省鹰潭市,,
14538,山东省泰安市,,
14566,辽宁省锦西市,,
14835,吉林省辽源市,,
14838,黑龙江七台河市,,
14841,吉林省四平市,,
14844,内蒙古包头市,,
14992,吉林省白城市,,
15203,广西南宁市,,
15322,辽宁省盘锦市,,
15662,广东省汕头市,,
16236,陕西省渭南地区,,
16271,安徽省淮南市,,
16454,浙江省舟山市,,
16641,黑龙江双鸭山市,,
17003,四川省攀枝花市,,
17004,辽宁省丹东市,,
17797,辽宁省沈阳市,,
18341,新疆伊犁地区,,
18815,湖北省沙市市,,
